"accountcode","src","dst","dcontext","clid","channel","dstchannel","lastapp","lastdata","calldate","answerdate","hangupdate","duration","billsec","disposition","amaflags","uniqueid","userfield"
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f20","","Hangup","","2023-05-31 00:00:39","2023-05-31 00:00:39","2023-05-31 00:00:56","17","17","ANSWERED","DOCUMENTATION","1685462439.1817",""
"","6150","s","from-trunk","6150","SIP/122.53.182.213-00028f22","","Hangup","","2023-05-31 00:00:40","2023-05-31 00:00:40","2023-05-31 00:00:57","17","17","ANSWERED","DOCUMENTATION","1685462440.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f23","","Hangup","","2023-05-31 00:00:41","2023-05-31 00:00:41","2023-05-31 00:00:58","17","17","ANSWERED","DOCUMENTATION","1685462441.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f24","","Hangup","","2023-05-31 00:00:41","2023-05-31 00:00:41","2023-05-31 00:00:58","17","17","ANSWERED","DOCUMENTATION","1685462441.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f25","","Hangup","","2023-05-31 00:00:42","2023-05-31 00:00:42","2023-05-31 00:00:59","17","17","ANSWERED","DOCUMENTATION","1685462442.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f26","","Hangup","","2023-05-31 00:00:42","2023-05-31 00:00:42","2023-05-31 00:01:00","18","18","ANSWERED","DOCUMENTATION","1685462442.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f27","","Hangup","","2023-05-31 00:00:43","2023-05-31 00:00:43","2023-05-31 00:01:00","17","17","ANSWERED","DOCUMENTATION","1685462443.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f28","","Hangup","","2023-05-31 00:00:44","2023-05-31 00:00:44","2023-05-31 00:01:01","17","17","ANSWERED","DOCUMENTATION","1685462444.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f29","","Hangup","","2023-05-31 00:00:44","2023-05-31 00:00:44","2023-05-31 00:01:01","17","17","ANSWERED","DOCUMENTATION","1685462444.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f2a","","Hangup","","2023-05-31 00:00:45","2023-05-31 00:00:45","2023-05-31 00:01:02","17","17","ANSWERED","DOCUMENTATION","1685462445.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f2b","","Hangup","","2023-05-31 00:00:45","2023-05-31 00:00:45","2023-05-31 00:01:02","17","17","ANSWERED","DOCUMENTATION","1685462445.1817",""
"","6150","s","from-trunk","6150","SIP/122.53.182.213-00028f2d","","Hangup","","2023-05-31 00:00:46","2023-05-31 00:00:46","2023-05-31 00:01:03","17","17","ANSWERED","DOCUMENTATION","1685462446.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f2e","","Hangup","","2023-05-31 00:00:46","2023-05-31 00:00:46","2023-05-31 00:01:03","17","17","ANSWERED","DOCUMENTATION","1685462446.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f2c","","Hangup","","2023-05-31 00:00:46","2023-05-31 00:00:46","2023-05-31 00:01:03","17","17","ANSWERED","DOCUMENTATION","1685462446.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f31","","Hangup","","2023-05-31 00:00:48","2023-05-31 00:00:48","2023-05-31 00:01:04","16","16","ANSWERED","DOCUMENTATION","1685462448.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f2f","","Hangup","","2023-05-31 00:00:47","2023-05-31 00:00:47","2023-05-31 00:01:04","17","17","ANSWERED","DOCUMENTATION","1685462447.1817",""
